pin10,sfha2018,sfha2024,prelimsfha,lomr2018,lomr2024,EFF_DATlomr2018,EFF_DATlomr2024,n
0201302060,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302061,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302062,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302063,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302064,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302065,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302066,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302067,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302068,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302069,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302070,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302071,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302072,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302077,1,1,0,1,1,2015-10-06,2015-10-06,1
0201302081,0,0,0,1,1,2015-10-06,2015-10-06,1
0201303001,1,1,0,1,1,2015-10-06,2015-10-06,1
0201303002,1,1,0,1,1,2015-10-06,2015-10-06,1
0201303003,0,0,0,1,1,2015-10-06,2015-10-06,1
0201303004,0,0,0,1,1,2015-10-06,2015-10-06,1
0201303005,0,0,0,1,1,2015-10-06,2015-10-06,1
0201303006,0,0,0,1,1,2015-10-06,2015-10-06,1
0201303007,0,0,0,1,1,2015-10-06,2015-10-06,1
0201303008,0,0,0,1,1,2015-10-06,2015-10-06,1
0201303009,0,0,0,1,1,2015-10-06,2015-10-06,1
0201303010,0,0,0,1,1,2015-10-06,2015-10-06,1
0201303011,0,0,0,1,1,2015-10-06,2015-10-06,1
0201303012,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304001,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304002,0,0,0,1,1,2015-10-06,2015-10-06,1
0201304003,0,0,0,1,1,2015-10-06,2015-10-06,1
0201304005,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304006,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304007,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304008,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304009,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304010,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304011,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304012,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304013,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304014,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304015,0,0,0,1,1,2015-10-06,2015-10-06,1
0201304016,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304017,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304018,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304019,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304020,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304021,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304022,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304023,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304024,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304025,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304026,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304027,1,1,0,1,1,2015-10-06,2015-10-06,1
0201304028,1,1,0,1,1,2015-10-06,2015-10-06,1
0201305001,1,1,0,1,1,2015-10-06,2015-10-06,1
0201305002,1,1,0,1,1,2015-10-06,2015-10-06,1
0201305003,0,0,0,1,1,2015-10-06,2015-10-06,1
0201305004,1,1,0,1,1,2015-10-06,2015-10-06,1
0201305005,1,1,0,1,1,2015-10-06,2015-10-06,1
0201305006,0,0,0,1,1,2015-10-06,2015-10-06,1
0201305007,0,0,0,1,1,2015-10-06,2015-10-06,1
0201305008,0,0,0,1,1,2015-10-06,2015-10-06,1
0201305009,0,0,0,1,1,2015-10-06,2015-10-06,1
0201305010,0,0,0,1,1,2015-10-06,2015-10-06,1
0201305011,0,0,0,1,1,2015-10-06,2015-10-06,1
0201305012,0,0,0,1,1,2015-10-06,2015-10-06,1
0201305013,0,0,0,1,1,2015-10-06,2015-10-06,1
0201305014,0,0,0,1,1,2015-10-06,2015-10-06,1
0201305015,0,0,0,1,1,2015-10-06,2015-10-06,1
0201306001,1,1,0,1,1,2015-10-06,2015-10-06,1
0201306002,0,0,0,1,1,2015-10-06,2015-10-06,1
0201306003,1,1,0,1,1,2015-10-06,2015-10-06,1
0201306004,1,1,0,1,1,2015-10-06,2015-10-06,1
0201306005,1,1,0,1,1,2015-10-06,2015-10-06,1
0201306006,0,0,0,1,1,2015-10-06,2015-10-06,1
0201306007,0,0,0,1,1,2015-10-06,2015-10-06,1
0201306008,0,0,0,1,1,2015-10-06,2015-10-06,1
0201306009,0,0,0,1,1,2015-10-06,2015-10-06,1
0201306010,0,0,0,1,1,2015-10-06,2015-10-06,1
0201306011,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307011,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307012,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307014,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307015,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307016,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307017,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307018,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307019,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307020,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307021,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307022,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307023,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307024,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307025,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307026,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307027,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307028,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307029,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307030,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307031,0,0,0,1,1,2015-10-06,2015-10-06,1
0201307032,0,0,0,1,1,2015-10-06,2015-10-06,1
0201308001,0,0,0,1,1,2015-10-06,2015-10-06,1
