tax_code_num,agency_num,agency_name,minor_type
76004,030210000,CITY OF CHICAGO,MUNI
76006,030210000,CITY OF CHICAGO,MUNI
76007,030210000,CITY OF CHICAGO,MUNI
76008,030210000,CITY OF CHICAGO,MUNI
76009,030210000,CITY OF CHICAGO,MUNI
76010,030210000,CITY OF CHICAGO,MUNI
76011,030210000,CITY OF CHICAGO,MUNI
76012,030210000,CITY OF CHICAGO,MUNI
76013,030210000,CITY OF CHICAGO,MUNI
76014,030210000,CITY OF CHICAGO,MUNI
76015,030210000,CITY OF CHICAGO,MUNI
76016,030210000,CITY OF CHICAGO,MUNI
76017,030210000,CITY OF CHICAGO,MUNI
76018,030210000,CITY OF CHICAGO,MUNI
76019,030210000,CITY OF CHICAGO,MUNI
76020,030210000,CITY OF CHICAGO,MUNI
76021,030210000,CITY OF CHICAGO,MUNI
76022,030210000,CITY OF CHICAGO,MUNI
76023,030210000,CITY OF CHICAGO,MUNI
76024,030210000,CITY OF CHICAGO,MUNI
76025,030210000,CITY OF CHICAGO,MUNI
76026,030210000,CITY OF CHICAGO,MUNI
76027,030210000,CITY OF CHICAGO,MUNI
76028,030210000,CITY OF CHICAGO,MUNI
76029,030210000,CITY OF CHICAGO,MUNI
76030,030210000,CITY OF CHICAGO,MUNI
76031,030210000,CITY OF CHICAGO,MUNI
76032,030210000,CITY OF CHICAGO,MUNI
76033,030210000,CITY OF CHICAGO,MUNI
76034,030210000,CITY OF CHICAGO,MUNI
76035,030210000,CITY OF CHICAGO,MUNI
76036,030210000,CITY OF CHICAGO,MUNI
76037,030210000,CITY OF CHICAGO,MUNI
76038,030210000,CITY OF CHICAGO,MUNI
76039,030210000,CITY OF CHICAGO,MUNI
76040,030210000,CITY OF CHICAGO,MUNI
76041,030210000,CITY OF CHICAGO,MUNI
76042,030210000,CITY OF CHICAGO,MUNI
76043,030210000,CITY OF CHICAGO,MUNI
76044,030210000,CITY OF CHICAGO,MUNI
76045,030210000,CITY OF CHICAGO,MUNI
76046,030210000,CITY OF CHICAGO,MUNI
76047,030210000,CITY OF CHICAGO,MUNI
76048,030210000,CITY OF CHICAGO,MUNI
76049,030210000,CITY OF CHICAGO,MUNI
76050,030210000,CITY OF CHICAGO,MUNI
76051,030210000,CITY OF CHICAGO,MUNI
76052,030210000,CITY OF CHICAGO,MUNI
76053,030210000,CITY OF CHICAGO,MUNI
76054,030210000,CITY OF CHICAGO,MUNI
76056,030210000,CITY OF CHICAGO,MUNI
76057,030210000,CITY OF CHICAGO,MUNI
76058,030210000,CITY OF CHICAGO,MUNI
76515,030210000,CITY OF CHICAGO,MUNI
76516,030210000,CITY OF CHICAGO,MUNI
76542,030210000,CITY OF CHICAGO,MUNI
77001,030210000,CITY OF CHICAGO,MUNI
77002,030210000,CITY OF CHICAGO,MUNI
77003,030210000,CITY OF CHICAGO,MUNI
77004,030210000,CITY OF CHICAGO,MUNI
